,Luchthaven,Periode,Totaal aantal vluchten,Totaal aantal aangekomen vluchten,Totaal aantal vertrokken vluchten,Totaal aantal passagiers,Totaal aantal aangekomen passagiers,Totaal aantal vertrokken passagiers,Totaal aantal passagiers op Europese vluchten,Totaal aantal passagiers op intercontinentale vluchten,Totaal aantal passagiers met onbekende herkomst/bestemming
140,Groningen Airport Eelde,2020 januari,210,104,106,5290,2612,2678,5290,0,0
141,Groningen Airport Eelde,2020 februari,164,82,82,4587,2292,2295,4587,0,0
142,Groningen Airport Eelde,2020 maart,30,14,16,1999,1201,798,1999,0,0
143,Groningen Airport Eelde,2020 april,5,3,2,0,0,0,0,0,0
144,Groningen Airport Eelde,2020 mei,7,3,4,47,22,25,47,0,0
145,Groningen Airport Eelde,2020 juni,6,5,1,0,0,0,0,0,0
146,Groningen Airport Eelde,2020 juli,54,28,26,2723,1081,1642,2723,0,0
147,Groningen Airport Eelde,2020 augustus,51,26,25,2231,1310,921,2231,0,0
148,Groningen Airport Eelde,2020 september,30,14,16,589,368,221,589,0,0
149,Groningen Airport Eelde,2020 oktober,23,17,6,62,31,31,62,0,0
150,Groningen Airport Eelde,2020 november,22,11,11,0,0,0,0,0,0
151,Groningen Airport Eelde,2020 december,10,4,6,0,0,0,0,0,0
152,Groningen Airport Eelde,2021 januari,20,14,6,0,0,0,0,0,0
153,Groningen Airport Eelde,2021 februari,23,8,15,0,0,0,0,0,0
154,Groningen Airport Eelde,2021 maart,40,19,21,0,0,0,0,0,0
155,Groningen Airport Eelde,2021 april,40,20,20,0,0,0,0,0,0
156,Groningen Airport Eelde,2021 mei,27,10,17,0,0,0,0,0,0
157,Groningen Airport Eelde,2021 juni,39,20,19,694,351,343,694,0,0
158,Groningen Airport Eelde,2021 juli,101,52,49,4119,1626,2493,4119,0,0
159,Groningen Airport Eelde,2021 augustus,74,34,40,4475,2002,2473,4475,0,0
